2018-09-16 18:16:23 INFO  ScreenController:117 - Starting Game
2018-09-16 18:16:25 INFO  ScreenController:245 - brick exploded
2018-09-16 18:16:50 INFO  ScreenController:117 - Starting Game
2018-09-16 18:16:52 INFO  ScreenController:245 - brick exploded
2018-09-16 18:17:09 INFO  ScreenController:117 - Starting Game
2018-09-16 18:17:11 INFO  ScreenController:245 - brick exploded
2018-09-16 18:17:23 INFO  ScreenController:117 - Starting Game
2018-09-16 18:17:25 INFO  ScreenController:245 - brick exploded
2018-09-16 18:17:34 INFO  ScreenController:117 - Starting Game
2018-09-16 18:17:36 INFO  ScreenController:245 - brick exploded
2018-09-16 18:17:53 INFO  ScreenController:117 - Starting Game
2018-09-16 18:17:55 INFO  ScreenController:245 - brick exploded
2018-09-16 18:18:09 INFO  ScreenController:117 - Starting Game
2018-09-16 18:18:12 INFO  ScreenController:245 - brick exploded
2018-09-16 18:18:18 INFO  ScreenController:245 - brick exploded
2018-09-16 18:22:25 INFO  ScreenController:117 - Starting Game
